id,domain,concept,definition_query,application_query,expected_answer
302,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
303,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
304,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
305,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
306,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
307,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
308,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
309,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",no
310,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
311,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
312,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
313,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
314,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
315,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
316,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
317,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
318,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
319,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
320,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",yes
321,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
322,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
323,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",yes
324,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
325,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
326,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",yes
327,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
328,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
329,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
330,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
331,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
332,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
333,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
334,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
335,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",no
336,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
337,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",yes
338,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
339,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
340,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",yes
341,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",yes
342,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
343,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",no
344,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
345,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
346,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
347,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
348,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",no
349,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",yes
350,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
351,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",yes
352,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",yes
353,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
354,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",yes
355,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
